1, Asvinī, β Arietis,   8° 29', 33° 22', 23° 15', 10° 7' 
2, Bharaṇī, 41 Arietis, 10° 27', 47° 36', 36° 35", 11° 1' 
3, Kr̥ttikā, 7 Tauri, +4° 3', 59' 23, 49° 55', 9 28 
4, Rohiṇi, α Tauri, +4° 3', 69° 11', 63° 15' 
5, Mrgasiras, i Orionis, 83° 6', 176° 35' 
6, Ardrā, a Orionis, \-10° 2', 88° 9', 89° 55' 
7, Punarvasu, B Geminorum + 8° 41', 112° 37', 108° 15' 
8, Puṣya, 8 Cancri, +05° 128' 7, 116° 35' 
9, Aśleṣā, a Cancri, \- 5° 5', 1332, 129° 55', 3° 7' 
10, Magha, a Loopis to 28, 149° 13', 143° 15', 5° 58' 
11, Pūrva Phalguni 8 Leonis, +14° 20', 160° 42', 156° 35' 
12, Uttara Phalguni B Leonis, +12° 16', 171° 1', 169° 55', 1° 6' 
13, Hasta, 8 Corvi, \-12° 12', 192° 51', 183° 15' 
14, Citrā, α Virginis, \- 2 ..3., 203° 14', 196° 35' 
15, Svāti, a Bootis, +30° 46', 203° 38', 209° 55' 
16, Visakhā, a Libra, +0° 20', 224° 28', 223° 15' 
17, Anurādhā, 8 Scorpii, \- 1° 59', 241° 58', 236° 35' 
18, Jyesthā, a Scorpii - 4° 34', 2499, 249° 55' 
19, Mūla, ^ Scorpii, \-13° 47', 263, 263° 15' 
20, Pūrvāṣādbā, 8 Sagittarii - 6° 28'., 276° 35' 
21, Uttarāsādbā, o Sagittarii - 3° 27' 281° 47', 289° 55' 
22, Śravana, a Aquilae +29 · 18, 301° 10', 308° 15', 5 
23, Dhaniṣthā, B Delphini +31° 65', 315° 44', 316° 35' (-)0° 51' 
24, Satabhigaj, 1 Aquarii - 0° 23', 340° 58', 329° 55', 11° 3' 
25, Pūrva Bhadrapadā a Pegagi, +19° 24', 352° 53', 348° 15', 9° 38' 
26, Uttara Bhādrapadā y Pegasi, +12° 86', 8° 39', 386° 35', 11° 58' 
27, Revatī, Ś Piscium, \-0° 13', 1916, 9° 55', 9° 21' 
